,id,tool,precision,recall,F1
0,0,SCarborSNV,0.9714828897338403,0.8964912280701754,0.9324817518248175
1,0,monovar,1.0,0.7333333333333333,0.8461538461538461
2,1,SCarborSNV,0.9858156028368794,0.8742138364779874,0.9266666666666666
3,1,monovar,1.0,0.7578616352201258,0.8622540250447227
4,2,SCarborSNV,0.5846645367412141,0.9104477611940298,0.7120622568093385
5,2,monovar,0.6030534351145038,0.7860696517412935,0.6825053995680346
6,3,SCarborSNV,0.9432989690721649,0.8905109489051095,0.9161451814768461
7,3,monovar,1.0,0.7518248175182481,0.8583333333333333
8,4,SCarborSNV,0.9064587973273942,0.9487179487179487,0.9271070615034168
9,4,monovar,0.9138381201044387,0.8158508158508159,0.8620689655172413
10,5,SCarborSNV,0.8984771573604061,0.9030612244897959,0.9007633587786259
11,5,monovar,1.0,0.8341836734693877,0.9095966620305981
12,6,SCarborSNV,0.89568345323741,0.9188191881918819,0.907103825136612
13,6,monovar,0.995475113122172,0.8118081180811808,0.8943089430894309
14,7,SCarborSNV,0.875,0.926208651399491,0.899876390605686
15,7,monovar,1.0,0.7404580152671756,0.8508771929824561
16,8,SCarborSNV,0.9204771371769384,0.929718875502008,0.9250749250749251
17,8,monovar,0.9975786924939467,0.8273092369477911,0.9045005488474204
18,9,SCarborSNV,0.9401544401544402,0.9383429672447013,0.9392478302796529
19,9,monovar,0.9977827050997783,0.8670520231213873,0.9278350515463918
20,10,SCarborSNV,0.8232848232848233,0.927400468384075,0.8722466960352423
21,10,monovar,0.87468671679198,0.8173302107728337,0.8450363196125908
22,11,SCarborSNV,0.8438661710037175,0.934156378600823,0.88671875
23,11,monovar,1.0,0.8765432098765432,0.9342105263157895
24,12,SCarborSNV,0.9387442572741195,0.9259818731117825,0.932319391634981
25,12,monovar,0.9962546816479401,0.8036253776435045,0.8896321070234113
26,13,SCarborSNV,0.841799709724238,0.8936825885978429,0.866965620328849
27,13,monovar,1.0,0.7904468412942989,0.882960413080895
28,14,SCarborSNV,0.919908466819222,0.9436619718309859,0.9316338354577057
29,14,monovar,1.0,0.8333333333333334,0.9090909090909091
30,15,SCarborSNV,0.8982683982683982,0.870020964360587,0.8839190628328009
