,id,tool,precision,recall,F1
0,0,SCarborSNV,1.0,0.8294573643410853,0.9067796610169492
1,0,monovar,1.0,0.7441860465116279,0.8533333333333334
2,1,SCarborSNV,1.0,0.6170212765957447,0.7631578947368421
3,1,monovar,1.0,0.5531914893617021,0.7123287671232876
4,2,SCarborSNV,0.7111111111111111,0.7272727272727273,0.7191011235955056
5,2,monovar,0.7045454545454546,0.7045454545454546,0.7045454545454546
6,3,SCarborSNV,1.0,0.6271186440677966,0.7708333333333334
7,3,monovar,1.0,0.5084745762711864,0.6741573033707865
8,4,SCarborSNV,0.9452054794520548,0.8214285714285714,0.8789808917197452
9,4,monovar,0.9436619718309859,0.7976190476190477,0.864516129032258
10,5,SCarborSNV,1.0,0.6521739130434783,0.7894736842105263
11,5,monovar,1.0,0.6173913043478261,0.7634408602150538
12,6,SCarborSNV,1.0,0.6428571428571429,0.782608695652174
13,6,monovar,1.0,0.6142857142857143,0.7610619469026548
14,7,SCarborSNV,1.0,0.7227722772277227,0.8390804597701149
15,7,monovar,1.0,0.6732673267326733,0.8047337278106509
16,8,SCarborSNV,1.0,0.6854838709677419,0.8133971291866029
17,8,monovar,1.0,0.6451612903225806,0.7843137254901961
18,9,SCarborSNV,1.0,0.7547169811320755,0.8602150537634409
19,9,monovar,1.0,0.7169811320754716,0.8351648351648352
20,10,SCarborSNV,0.9315068493150684,0.723404255319149,0.8143712574850299
21,10,monovar,0.927536231884058,0.6808510638297872,0.7852760736196319
22,11,SCarborSNV,1.0,0.6779661016949152,0.8080808080808081
23,11,monovar,1.0,0.6610169491525424,0.7959183673469388
24,12,SCarborSNV,1.0,0.7484276729559748,0.8561151079136691
25,12,monovar,1.0,0.6729559748427673,0.8045112781954887
26,13,SCarborSNV,1.0,0.6666666666666666,0.8
27,13,monovar,1.0,0.6111111111111112,0.7586206896551724
28,14,SCarborSNV,1.0,0.7065217391304348,0.8280254777070064
29,14,monovar,1.0,0.6304347826086957,0.7733333333333333
30,15,SCarborSNV,1.0,0.5571428571428572,0.7155963302752294
31,15,monovar,1.0,0.5071428571428571,0.6729857819905213
32,16,SCarborSNV,1.0,0.5824175824175825,0.7361111111111112
33,16,monovar,1.0,0.5274725274725275,0.6906474820143885
34,17,SCarborSNV,1.0,0.6842105263157895,0.8125
35,17,monovar,1.0,0.6616541353383458,0.7963800904977375
36,18,SCarborSNV,1.0,0.6666666666666666,0.8
