i,Phylo,Precision,Recall,F1
0,Y,0.9650655021834061,0.9208333333333333,0.9424307036247335
0,N,0.9758454106280193,0.8416666666666667,0.9038031319910514
1,Y,0.9680511182108626,0.8782608695652174,0.9209726443768997
1,N,0.9926739926739927,0.7855072463768116,0.8770226537216829
2,Y,0.9589371980676329,0.8861607142857143,0.9211136890951276
2,N,0.9920844327176781,0.8392857142857143,0.909310761789601
3,Y,0.9453302961275627,0.8663883089770354,0.9041394335511983
3,N,0.9950124688279302,0.8329853862212944,0.9068181818181819
4,Y,0.9963702359346642,0.913477537437604,0.953125
4,N,0.9884169884169884,0.8519134775374376,0.9151027703306523
5,Y,0.9720670391061452,0.9577981651376147,0.9648798521256932
5,N,0.9857723577235772,0.8899082568807339,0.9353905496624879
6,Y,0.9582309582309583,0.9307875894988067,0.9443099273607748
6,N,0.9944444444444445,0.8544152744630071,0.9191270860077022
7,Y,0.909375,0.917981072555205,0.9136577708006279
7,N,0.9962264150943396,0.832807570977918,0.9072164948453608
8,Y,0.8208409506398537,0.9016064257028112,0.8593301435406698
8,N,0.8582995951417004,0.8514056224899599,0.8548387096774194
9,Y,0.9093198992443325,0.8719806763285024,0.8902589395807645
9,N,0.9913294797687862,0.8285024154589372,0.9026315789473685
10,Y,0.9760191846522782,0.8479166666666667,0.907469342251951
10,N,0.979539641943734,0.7979166666666667,0.8794489092996556
11,Y,0.9141221374045801,0.9158699808795411,0.9149952244508118
11,N,0.9890350877192983,0.8623326959847036,0.9213483146067416
12,Y,0.6085011185682326,0.9006622516556292,0.7263017356475301
12,N,0.6375,0.8443708609271523,0.7264957264957265
13,Y,0.8266129032258065,0.8649789029535865,0.845360824742268
13,N,0.9689119170984456,0.7890295358649789,0.8697674418604651
14,Y,0.8989010989010989,0.8989010989010989,0.8989010989010989
14,N,0.9796954314720813,0.8483516483516483,0.9093050647820966
15,Y,0.7191558441558441,0.9248434237995825,0.8091324200913242
15,N,0.7554347826086957,0.8705636743215032,0.8089233753637245
16,Y,0.918809201623816,0.9727793696275072,0.9450243562978428
16,N,0.9829721362229102,0.9097421203438395,0.9449404761904762
17,Y,0.9155629139072847,0.9584055459272097,0.9364944961896697
17,N,0.9829222011385199,0.8977469670710572,0.9384057971014492
18,Y,0.8958333333333334,0.9066265060240963,0.9011976047904192
