i,Phylo,Precision,Recall,F1
0,Y,0.9661016949152542,0.9743589743589743,0.9702127659574468
0,N,1.0,0.9401709401709402,0.9691629955947136
1,Y,0.9619047619047619,0.9758454106280193,0.9688249400479616
1,N,0.984375,0.9130434782608695,0.9473684210526315
2,Y,0.055299539170506916,1.0,0.10480349344978165
2,N,0.05789990186457311,0.9833333333333333,0.10936051899907322
3,Y,0.9659090909090909,0.9714285714285714,0.9686609686609686
3,N,0.9876543209876543,0.9142857142857143,0.9495548961424333
4,Y,0.5409252669039146,0.9620253164556962,0.6924829157175398
4,N,0.5481481481481482,0.9367088607594937,0.6915887850467289
5,Y,0.32229580573951433,0.9605263157894737,0.4826446280991736
5,N,0.3082191780821918,0.8881578947368421,0.4576271186440678
6,Y,0.9764705882352941,0.9803149606299213,0.9783889980353635
6,N,0.9957805907172996,0.9291338582677166,0.9613034623217923
7,Y,0.3931297709923664,0.9626168224299065,0.5582655826558266
7,N,0.44594594594594594,0.9252336448598131,0.601823708206687
8,Y,0.9225806451612903,0.9862068965517241,0.9533333333333334
8,N,0.9790209790209791,0.9655172413793104,0.9722222222222222
9,Y,0.20503597122302158,0.9344262295081968,0.336283185840708
9,N,0.2076923076923077,0.8852459016393442,0.3364485981308411
10,Y,0.25060827250608275,1.0,0.40077821011673154
10,N,0.24371859296482412,0.941747572815534,0.3872255489021956
11,Y,0.9743589743589743,0.946058091286307,0.96
11,N,1.0,0.9377593360995851,0.9678800856531049
12,Y,0.3082901554404145,0.9444444444444444,0.46484375
12,N,0.35103244837758113,0.9444444444444444,0.5118279569892473
13,Y,0.10101010101010101,0.9876543209876543,0.18327605956471935
13,N,0.09497964721845319,0.8641975308641975,0.17114914425427874
14,Y,0.3693181818181818,0.9923664122137404,0.5383022774327122
14,N,0.419672131147541,0.9770992366412213,0.5871559633027523
15,Y,0.17551963048498845,1.0,0.29862475442043224
15,N,0.1643192488262911,0.9210526315789473,0.2788844621513944
16,Y,0.4444444444444444,0.9911504424778761,0.6136986301369863
16,N,0.44129554655870445,0.9646017699115044,0.6055555555555555
17,Y,0.1461187214611872,1.0,0.2549800796812749
17,N,0.12322274881516587,0.8125,0.2139917695473251
18,Y,0.24453280318091453,0.9534883720930233,0.38924050632911394
18,N,0.2408906882591093,0.9224806201550387,0.38202247191011235
19,Y,0.3163265306122449,0.96875,0.47692307692307695
19,N,0.3064935064935065,0.921875,0.4600389863547758
20,Y,0.8992248062015504,0.9747899159663865,0.9354838709677419
20,N,0.9871244635193133,0.9663865546218487,0.9766454352441614
21,Y,0.4226415094339623,1.0,0.5941644562334217
21,N,0.42748091603053434,1.0,0.5989304812834224
22,Y,0.3914590747330961,0.990990990990991,0.5612244897959183
22,N,0.424,0.954954954954955,0.5872576177285319
23,Y,0.13916500994035785,0.9722222222222222,0.24347826086956523
23,N,0.14314928425357873,0.9722222222222222,0.24955436720142601
24,Y,0.5106382978723404,0.9795918367346939,0.6713286713286714
24,N,0.5259259259259259,0.9659863945578231,0.6810551558752997
25,Y,0.9253112033195021,0.9449152542372882,0.9350104821802935
25,N,0.9649122807017544,0.9322033898305084,0.9482758620689655
26,Y,0.41946308724832215,0.9765625,0.5868544600938967
26,N,0.4241379310344828,0.9609375,0.5885167464114832
27,Y,0.4289544235924933,0.9696969696969697,0.5947955390334573
27,N,0.4456824512534819,0.9696969696969697,0.6106870229007634
28,Y,0.21157684630738524,1.0,0.34925864909390447
28,N,0.21327967806841047,1.0,0.351575456053068
29,Y,0.2755344418052256,0.9914529914529915,0.4312267657992565
29,N,0.279126213592233,0.9829059829059829,0.43478260869565216
